basemodel,kitname,level,price
Admiral,STR,25,35000
Admiral,STR Aero,25,35000
Alpha,GT9000 T/R,13,33000
Alpha,GTO,20,50000
Alpha,GTO T/R,26,65000
Alpha,VR-4,38,90000
Alpha,VR-4 Aero I,38,90000
Alpha,VR-4 Aero II,38,90000
Alpha,GTO VR-4,44,110000
Alpha,GTO VR-4 Aero I,44,110000
Alpha,GTO VR-4 Aero II,44,110000
Banshee,Viper,17,65000
Blista Compact,Rally,20,50000
Blista Compact,VX,28,55000
Blista Compact,VX Aero,30,57500
Blista Compact,GT,44,110000
Blista Compact,GT Aero,46,115000
Bobcat,TRD,12,20000
Bobcat,Offroad,16,28000
Bravura,Custom,20,35000
Bravura,GT,26,45000
Bravura,GT Custom,30,65000
Buffalo,Super Sport,25,45000
Buffalo,HellCat,40,125000
Buffalo,Challenger,60,185000
Bullet,MK2,40,95000
Cadrona,GTC,10,18000
Cadrona,Krieger,32,65000
Cadrona,Krieger Aero,6,5000
Cadrona,DTM Aero,6,5000
Cheetah,Le Manse,37,120000
Cheetah,Classic,40,130000
Cheetah,Classic Popup,40,135000
Cheetah,LBWK,65,210000
Cheetah,LBWK Popup,65,215000
Celsion,MBS,32,60000
Celsion,KKS,36,90000
Celsion,BN,48,110000
Celsion,Aero I,5,10000
Celsion,Aero II,5,5000
Celsion,Aero III,5,7500
Clover,Demon,24,80000
Clover,Turbo,30,95000
Club,Rally SS,27,63000
Club,Classic,28,65000
Comet,Safari,10,40000
Comet,GT,55,200000
Comet,964,38,125000
Comet,Popup,24,50000
Comet,Safari Popup,28,60000
Comet,964 Popup,44,155000
Comet,Spoiler Aero I,8,5000
Comet,Spoiler Aero II,10,7500
Comet,Spoiler Aero III,12,10000
Comet,Spoiler Aero IV,15,15000
Contander,F-350,7,25000
Elegant,Custom,40,68000
Elegy,Drift,20,30000
Elegy,RH5,45,110000
Elegy,RH5 Pandem,55,130000
Euros,GTS,30,90000
Euros,GTS WB,40,115000
Euros,C-1 Drift,50,150000
Emperor,Zacoe,20,40000
